timestamp,symbol,action,price,quantity,reason,mode,outcome,pnl
2019-07-23T00:00:00+00:00,USDJPY,SELL,107.89,91.96301,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-79.50
2019-07-31T00:00:00+00:00,USDJPY,BUY,108.58,92.097693,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2019-08-06T00:00:00+00:00,USDJPY,SELL,105.57,92.097693,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-277.78
2019-09-03T00:00:00+00:00,USDJPY,BUY,106.21,94.1521,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2019-09-04T00:00:00+00:00,USDJPY,SELL,105.84,94.1521,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-35.67
2019-09-06T00:00:00+00:00,USDJPY,BUY,107.09,93.379221,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2019-10-03T00:00:00+00:00,USDJPY,SELL,107.14,93.379221,Death cross: fast SMA crossed below slow SMA,raw,WIN,4.10
2019-10-17T00:00:00+00:00,USDJPY,BUY,108.70,92.000239,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2019-11-22T00:00:00+00:00,USDJPY,SELL,108.57,92.000239,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-12.84
2019-11-29T00:00:00+00:00,USDJPY,BUY,109.53,91.29881,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2019-12-12T00:00:00+00:00,USDJPY,SELL,108.53,91.29881,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-92.28
2019-12-17T00:00:00+00:00,USDJPY,BUY,109.59,91.245493,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2020-01-03T00:00:00+00:00,USDJPY,SELL,108.52,91.245493,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-98.61
2020-01-17T00:00:00+00:00,USDJPY,BUY,110.19,90.749437,Golden cross: fast SMA crossed above slow SMA,raw,OPEN,0.00
2020-02-03T00:00:00+00:00,USDJPY,SELL,108.35,90.749437,Death cross: fast SMA crossed below slow SMA,raw,LOSS,-167.96
